Country,Year,Rank,Total,Percentile,Decision,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Personal Safety,Environmental Quality,Tolerance and Inclusion,Press Freedom Index,Tolerance for immigrants ,Discrimination and violence against minorities  
Somalia,2016,1st,114,100,Alert,9.7,10,9.4,9,9.3,9.5,9.5,9,9.7,9.7,9.7,9.5,5.6,,,7.2,5.7,9.5
South Sudan,2016,2nd,113.8,99.4,Alert,10,9.7,9.9,9.3,9,6.6,9.7,10,9.7,9.9,10,10,,,7.1,3.8,5.6,10
Central African Republic,2016,3rd,112.1,98.8,Alert,9.2,10,9.3,8.6,9.9,7.2,9.8,10,9.9,8.7,10,9.5,6.4,6.8,7.7,3.4,7.4,9.6
Sudan,2016,4th,111.5,97.7,Alert,9.2,10,9.8,8.7,7.6,9.1,9.8,9.1,9.3,9,10,9.9,5.1,6.4,7.1,7.2,3,9.7
Yemen,2016,4th,111.5,97.7,Alert,10,9.5,9.5,9.4,8.4,7.5,9.4,9.3,9.4,9.5,9.6,10,4.2,5.3,7.5,6.6,3.6,9.4
Syria,2016,6th,110.8,97.1,Alert,10,9.9,10,7.8,7.4,8.6,10,8.9,9.8,8.4,10,10,,,,7.7,3.8,10
Chad,2016,7th,110.1,96.6,Alert,9.1,9.8,8.5,8,9.3,8.9,9.2,9.8,9.3,9.9,9.8,8.5,4.9,5.6,5.7,4,6.9,8.2
Congo Democratic Republic,2016,8th,110,96,Alert,9.2,9.8,9.7,8.1,8.9,6.8,9.3,9.7,10,9.1,9.7,9.7,5.9,5.1,6.2,4.4,5.4,9.5
Afghanistan,2016,9th,107.9,95.4,Alert,10,8.6,8.6,8.5,7.5,8.4,9.1,9.6,8.7,9.5,9.5,9.9,5.6,7.9,8.3,3.7,3.2,8.9
Haiti,2016,10th,105.1,94.9,Alert,7.9,9.6,6.7,8.9,9.5,9,9.4,9.4,7.7,9.2,7.9,9.9,4.1,5.3,6.2,2.5,4.8,6.7
Iraq,2016,11th,104.7,94.3,Alert,10,9.6,9.8,6.8,7.5,7.9,9.2,7.8,8.9,8.1,9.4,9.7,5.8,5.5,7.4,4.8,5.2,10
Guinea,2016,12th,103.8,93.7,Alert,9,9.9,8.8,9.4,7.4,7.5,9.8,9.2,7.9,8.9,8.4,7.6,4.9,5,6.3,3.3,7,8.7
Nigeria,2016,13th,103.5,93.2,Alert,9.7,9.9,9.4,7.7,8.8,7.4,8.8,9.4,9.1,9.1,7.7,6.5,5.5,3.9,6.7,3.4,6.6,9.9
Pakistan,2016,14th,101.7,92.6,Alert,9.3,8.9,9.7,7.4,7,7.3,8.3,8.2,8.2,8.9,8.9,9.6,4.8,5.2,8,5,4.9,10
Burundi,2016,15th,100.7,92,Alert,9,8.5,8.1,8.2,7.4,6.5,9,8.2,8.5,9.5,9.1,8.7,4.2,4.6,6.2,4.3,5.8,8
Zimbabwe,2016,16th,100.5,91.5,Alert,7.8,9.8,7.5,8.3,8.2,8.1,8.9,8.5,8.4,8.6,8.7,7.7,4.8,4.5,5.9,3.9,5.6,7.8
Guinea Bissau,2016,17th,99.8,90.9,Alert,9.1,9.6,5.4,8.5,8.7,8.3,8.9,9.5,7.5,8.3,7.5,8.5,4.2,5.2,,2.9,,5.7
Eritrea,2016,18th,98.6,90.3,Alert,7.4,8.1,6.6,8.3,7.5,8,9.5,8.6,9.1,9.1,8.5,7.9,4,6,,8.5,,6.1
Niger,2016,19th,98.4,89.8,Alert,8.9,8.9,7.7,8,8.2,7.2,7.8,9.2,6.7,9.5,8,8.3,3.9,6,5.9,2.4,6.7,7.5
Kenya,2016,20th,98.3,89.2,Alert,8.5,8.9,9.1,7.4,8,7.8,7.8,8.2,7.2,9.1,8,8.3,4.9,3.4,6.5,3.2,6.6,9
Cote d Ivoire,2016,21st,97.9,88.7,Alert,7.7,9.4,8.3,6.8,8.2,7,8.1,8.7,8.1,8.2,8,9.4,4.5,4,5.2,3,8.3,8.7
Cameroon,2016,22nd,97.8,88.1,Alert,8.1,9.4,8.5,6.3,8.1,7.8,8.7,8.9,7.7,8.3,8,8,4.3,6.3,5.7,4,6.2,8.1
Uganda,2016,23rd,97.7,87.5,Alert,7.3,8.9,9,6.7,7.6,7.6,8.3,8.5,8,8.7,9.1,8,3.7,4.3,6.3,3.2,4.8,8.7
Ethiopia,2016,24th,97.2,87,Alert,8.1,8.3,8.6,6.7,6.7,7.3,7.7,8.3,8.5,9.3,9.5,8.2,3.2,4.8,6.7,4.2,6,8.5
